TF	cluster12	cluster6	cluster11	cluster16	cluster20	cluster3	cluster19	cluster18	cluster1	cluster4	cluster7	cluster9	cluster15	cluster14	cluster2	cluster8	cluster17	cluster13	cluster10	cluster5
Neurod2_MA0668.2	0.6407296564333138	0.49526672404762806	0.8572553998047977	-1.127275320511556	0.6060972375993138	-3.2796510134069443	-0.504086615629934	-0.6969066357841015	0.5202550318899479	-0.22267260105423684	0.5344271805999692	-0.2780174163632697	0.6330012227431469	0.657309554929621	-1.1541057276971278	0.6740565416062159	0.6103708994384435	0.08765951573872105	0.8885431132335008	0.05774325238255383
NEUROG2_MA0669.1	0.736540636198324	0.5092918157214454	0.6020074317481481	-0.9633314242556468	0.6425463759449436	-3.051714707765662	-1.019018248096793	-1.006055730933094	0.6735854806532451	-0.22008021875361217	0.6987417864644042	-0.09553280020943627	0.7994896280658093	0.7874509990067935	-1.1294050238630617	0.8759325010436747	0.8781242213846568	0.20611734677921573	0.11925377239463965	-0.043943841527996935
NFIA_MA0670.1	0.8062659008352308	0.7160269571036195	-0.23912635347937017	-1.5789230124944378	0.7592898972745409	-2.783916009931293	-1.1724157910527309	-0.03325977643200716	0.7851460028408628	-0.4003805170651526	0.730219797534881	0.25249184897249227	0.7792571607720866	0.7264409247391316	-0.5005086179131477	0.9050605617885629	0.9373311526945016	0.3857534427110167	-0.9853780960253065	-0.08937547287347153
NFIX_MA0671.1	0.7718618200922162	0.7731251026583729	-0.43219469515812137	-1.5765815659154174	0.7331316865266589	-2.604887985091739	-1.2323387873100518	0.1953720909739126	0.7509299224328881	-0.4469800001399255	0.7540291008515935	0.3787231763416936	0.7957147428768067	0.7516371836741856	-0.47039562803568763	0.8936336702016016	0.8922115432436961	0.46255452249452045	-1.2357368926726942	-0.1538090080445269
NKX2-3_MA0672.1	0.777343410583363	0.5743899903566483	0.5344082043216992	-0.27197428058468626	0.6847264341222877	-3.2130714196217	-0.7108132167247271	-1.0448692290529222	0.6866428670230461	0.08715664472840934	0.5045513972209085	-0.16254769209550135	0.7281503669693575	0.6761817496634054	-1.4322386667842266	0.7453354028631323	0.874782455221456	0.2461297902251657	0.07695505290578157	-0.36123926134089956
NKX2-8_MA0673.1	0.8468560816062761	0.5565775266633426	0.3427676727223737	-0.3462565898923089	0.8546557798081885	-3.30352605451136	-0.5377687234092839	-1.142965893670095	0.8427003220270745	-0.054699628825936014	0.7049310834085697	-0.44943966962276344	0.6924219391657055	0.6896662999688028	-0.672943946660667	0.7571443272354201	0.9207050327051098	0.00900108743001946	-0.39621420130607093	-0.3136124448423647
NKX6-1_MA0674.1	0.6577887514583661	0.6234467518914639	0.19171503608978419	-1.8935894586032223	0.7077562179234583	-2.7187404348086357	-1.6350417537359914	0.025734846923437346	0.7664343219935696	-0.5503416219080997	0.7000410691594233	0.3665946176869534	0.7081555507771278	0.5965313342408782	-0.2166161324138764	0.7835778293196795	0.9025933154097213	0.29884149334128707	-0.1177751975765141	-0.19710653716881513
NKX6-2_MA0675.1	0.5636203532037655	0.5487741494266728	0.5712788483102645	-1.8746211030148632	0.6611114664493827	-2.802448958042648	-1.5193451792025332	-0.1301563928807208	0.576456458639482	-0.6333249065400142	0.6629069426165205	0.12094010089632522	0.6514930476307461	0.452661793144597	0.2583382541863015	0.7175175519147301	0.8667101154201835	-0.05054667565681958	0.7743107782133842	-0.4156766447147473
Nr2e1_MA0676.1	0.8843892547932506	0.7681031631196749	-0.0912934416813787	-1.1431834668837462	0.7818228955787783	-2.642848903033121	-1.1523280649631469	-0.7135335242573976	0.8444336702861109	-0.04190056963837795	0.7458809395946077	0.21842730129872612	0.8388334192391411	0.7277488466606499	-1.2423642040176466	0.9771945632565038	0.957177916208409	0.34532613906471565	-0.8700827501802629	-0.19180318444548455
Nr2f6_MA0677.1	0.8379909817407596	0.819915262485412	-0.6247907833645482	-1.5230235363382667	0.7970964452008242	-2.1765782988543023	-1.3103289772632758	-0.9747694668918765	0.8372597554501618	-0.1655644830234841	0.8094697622927345	0.21791717857667134	0.7866461071326235	0.7997939104958404	-0.08964449169697448	0.9080103367354514	0.8990208326971839	0.6036714458336729	-1.4765335853599015	0.024441604151283783
